order_id,customer_id,channel_id,store_id,billing_address_id,shipping_address_id,status,currency_code,subtotal,tax_amount,shipping_fee,total_amount,order_date_key
1000000000,356,1,,2910.0,1595,FULFILLED,ARS,51600.0,10836.0,1200.0,63636.0,20241126
1000000001,601,1,,3803.0,3534,CREATED,ARS,63840.0,13406.4,900.0,78146.4,20240131
1000000002,1234,1,,1126.0,4063,FULFILLED,ARS,25260.0,5304.6,1500.0,32064.6,20250226
1000000003,156,1,,3665.0,1507,FULFILLED,ARS,25500.0,5355.0,0.0,30855.0,20250301
1000000004,616,2,4.0,1293.0,4,FULFILLED,ARS,44175.0,9276.75,0.0,53451.75,20240330
1000000005,614,2,2.0,1723.0,2,FULFILLED,ARS,24000.0,5040.0,0.0,29040.0,20240312
1000000006,188,1,,1432.0,2148,REFUNDED,ARS,14250.0,2992.5,1200.0,18442.5,20250715
1000000007,17,1,,,3577,FULFILLED,ARS,13500.0,2835.0,1200.0,17535.0,20241111
1000000008,1148,1,,2018.0,1490,FULFILLED,ARS,89100.0,18711.0,1200.0,109011.0,20240825
1000000009,1037,1,,1097.0,1974,PAID,ARS,12825.0,2693.25,1200.0,16718.25,20240330
1000000010,1336,2,1.0,,1,REFUNDED,ARS,14700.0,3087.0,0.0,17787.0,20240313
1000000011,1239,2,4.0,2159.0,4,FULFILLED,ARS,34140.0,7169.4,0.0,41309.4,20250617
1000000012,1426,2,3.0,3389.0,3,FULFILLED,ARS,35280.0,7408.8,0.0,42688.8,20240809
1000000013,862,2,1.0,1342.0,1,PAID,ARS,101887.5,21396.38,0.0,123283.88,20250323
1000000014,181,1,,2238.0,3917,PAID,ARS,11760.0,2469.6,900.0,15129.6,20250818
1000000015,700,1,,3268.0,1803,CANCELLED,ARS,23520.0,4939.2,1200.0,29659.2,20240915
1000000016,475,1,,1585.0,3558,FULFILLED,ARS,22680.0,4762.8,1200.0,28642.8,20250827
1000000017,753,2,2.0,3052.0,2,FULFILLED,ARS,66870.0,14042.7,0.0,80912.7,20250219
1000000018,1151,1,,2712.0,2691,CANCELLED,ARS,81990.0,17217.9,900.0,100107.9,20240714
1000000019,793,1,,2523.0,3612,FULFILLED,ARS,37044.0,7779.24,1200.0,46023.24,20250421
1000000020,866,1,,3933.0,3374,FULFILLED,ARS,49500.0,10395.0,0.0,59895.0,20240506
1000000021,1110,1,,3246.0,2545,FULFILLED,ARS,23520.0,4939.2,1200.0,29659.2,20250923
1000000022,854,2,1.0,2462.0,1,REFUNDED,ARS,24000.0,5040.0,0.0,29040.0,20240331
1000000023,379,2,3.0,3098.0,3,FULFILLED,ARS,68400.0,14364.0,0.0,82764.0,20250705
1000000024,441,2,2.0,1528.0,2,FULFILLED,ARS,11760.0,2469.6,0.0,14229.6,20250302
1000000025,125,1,,2981.0,1512,FULFILLED,ARS,70087.5,14718.38,1200.0,86005.88,20250826
1000000026,1201,1,,4164.0,1297,FULFILLED,ARS,13500.0,2835.0,1200.0,17535.0,20241212
1000000027,1055,1,,3321.0,2858,FULFILLED,ARS,22800.0,4788.0,900.0,28488.0,20241202
1000000028,382,1,,1338.0,2419,FULFILLED,ARS,12000.0,2520.0,0.0,14520.0,20240517
1000000029,1456,1,,1410.0,2421,FULFILLED,ARS,64740.0,13595.4,900.0,79235.4,20250914
1000000030,1377,2,4.0,3581.0,4,PAID,ARS,34200.0,7182.0,0.0,41382.0,20250609
1000000031,1375,2,4.0,1924.0,4,PAID,ARS,23520.0,4939.2,0.0,28459.2,20250510
1000000032,821,1,,3181.0,1920,FULFILLED,ARS,27000.0,5670.0,1200.0,33870.0,20250315
1000000033,1475,2,4.0,3312.0,4,FULFILLED,ARS,14700.0,3087.0,0.0,17787.0,20240608
1000000034,634,2,2.0,2156.0,2,FULFILLED,ARS,85387.5,17931.38,0.0,103318.88,20241117
1000000035,585,2,1.0,3436.0,1,FULFILLED,ARS,21600.0,4536.0,0.0,26136.0,20240112
1000000036,180,1,,4138.0,2859,FULFILLED,ARS,49800.0,10458.0,900.0,61158.0,20240924
1000000037,482,1,,2544.0,3321,FULFILLED,ARS,24696.0,5186.16,1200.0,31082.16,20240126
1000000038,620,2,1.0,1303.0,1,FULFILLED,ARS,11760.0,2469.6,0.0,14229.6,20240202
