session_id,customer_id,source,device,started_date_key,ended_date_key
11000000000,791.0,ads,desktop,20240202,20240202
11000000001,332.0,direct,desktop,20250726,20250726
11000000002,,email,mobile,20240604,20240604
11000000003,771.0,ads,mobile,20240324,20240324
11000000004,908.0,direct,mobile,20240822,20240822
11000000005,1222.0,referral,mobile,20240322,20240322
11000000006,490.0,ads,mobile,20241003,20241003
11000000007,705.0,ads,mobile,20241011,20241011
11000000008,1161.0,direct,mobile,20250311,20250311
11000000009,841.0,ads,mobile,20240430,20240430
11000000010,,referral,mobile,20250424,20250425
11000000011,162.0,social,mobile,20240209,20240209
11000000012,,social,mobile,20240305,
11000000013,1477.0,ads,mobile,20250914,20250914
11000000014,,social,mobile,20240612,20240612
11000000015,60.0,ads,desktop,20250828,20250828
11000000016,520.0,direct,mobile,20240322,20240322
11000000017,,email,desktop,20241102,20241102
11000000018,,direct,mobile,20240406,20240407
11000000019,,ads,desktop,20240607,20240607
11000000020,575.0,direct,mobile,20240528,20240528
11000000021,508.0,direct,desktop,20250427,20250428
11000000022,,ads,mobile,20250118,20250118
11000000023,,ads,desktop,20240617,20240617
11000000024,99.0,direct,mobile,20240811,20240811
11000000025,1277.0,ads,mobile,20250424,20250424
11000000026,,direct,mobile,20240102,
11000000027,95.0,direct,tablet,20250503,20250503
11000000028,1286.0,direct,mobile,20250326,20250326
11000000029,1176.0,direct,mobile,20240307,20240307
11000000030,1053.0,ads,desktop,20241001,20241001
11000000031,290.0,ads,mobile,20240727,20240727
11000000032,357.0,direct,mobile,20240117,20240117
11000000033,391.0,ads,mobile,20240105,20240105
11000000034,830.0,direct,desktop,20250830,20250830
11000000035,1076.0,ads,desktop,20250722,20250722
11000000036,,referral,mobile,20240719,20240719
11000000037,622.0,email,desktop,20250109,20250109
11000000038,990.0,social,mobile,20250509,20250509
11000000039,902.0,direct,desktop,20250415,20250415
11000000040,572.0,direct,mobile,20250723,
11000000041,1088.0,direct,mobile,20240122,20240122
11000000042,1101.0,referral,mobile,20241109,20241109
11000000043,833.0,direct,mobile,20240531,20240531
11000000044,,ads,mobile,20240603,20240603
11000000045,1371.0,direct,mobile,20241228,20241228
11000000046,1090.0,direct,mobile,20240628,20240628
11000000047,250.0,direct,mobile,20250219,20250219
11000000048,135.0,direct,desktop,20250807,20250807
11000000049,334.0,direct,mobile,20241124,20241124
11000000050,779.0,direct,mobile,20250807,20250807
